iso3,year,anaemia_children_pct,anaemia_children_pct_year,anaemia_pregnant_women_pct,anaemia_pregnant_women_pct_year,anaemia_women_repro_pct,anaemia_women_repro_pct_year,stunting_pct_who,stunting_pct_who_year,wasting_pct,wasting_pct_year,tb_incidence_per100k,tb_incidence_per100k_year,hiv_prevalence_pct,hiv_prevalence_pct_year,malaria_incidence_per1000,malaria_incidence_per1000_year,low_birthweight_pct,low_birthweight_pct_year,preterm_birth_rate_pct,preterm_birth_rate_pct_year,anc4_coverage_pct,anc4_coverage_pct_year,mcv1_coverage_pct,mcv1_coverage_pct_year,mcv2_coverage_pct,mcv2_coverage_pct_year,dtp3_coverage_pct,dtp3_coverage_pct_year,pcv3_coverage_pct,pcv3_coverage_pct_year,rotac_coverage_pct,rotac_coverage_pct_year,ors_coverage_pct,ors_coverage_pct_year,measles_reported_cases,measles_reported_cases_year,u5_mortality_per1000,u5_mortality_per1000_year,neonatal_mortality_per1000,neonatal_mortality_per1000_year,maternal_mortality_per100k,maternal_mortality_per100k_year,hci_score,hci_score_year,hci_learning_years,hci_learning_years_year,gdp_per_capita_ppp,gdp_per_capita_ppp_year,severe_food_insecurity_pct,severe_food_insecurity_pct_year,food_insecurity_mod_sev_pct,food_insecurity_mod_sev_pct_year,stunting_pct,stunting_pct_year,underweight_pct,underweight_pct_year,vitamin_a_deficiency_pct,vitamin_a_deficiency_pct_year,zinc_deficiency_pct,zinc_deficiency_pct_year,iron_deficiency_pct,iron_deficiency_pct_year,iodine_deficiency_pct,iodine_deficiency_pct_year,wheat_flour_legislation,maize_flour_legislation,lsff_any_mandatory,lsff_any_program,lsff_coverage_proxy_pct,who_region,who_region_code,country_name,region,income_level,folate_deficiency_pct,iron_intake_mg_per_day,iron_intake_inadequate_pct,folate_intake_ug_per_day,folate_intake_inadequate_pct,vita_intake_ug_per_day,vita_intake_inadequate_pct,mdd_w_pct,mdd_c_pct,iron_deficiency_pct_source,vitamin_a_deficiency_pct_source
ZWE,2023,37.8,2019.0,31.7,2019.0,27.5,2023.0,23.5,2023.0,2.9,2019.0,209.0,2023.0,10.3,2023.0,49.39604595,2023.0,11.8,2020.0,,,71.5,2019.0,90.0,2023.0,77.0,2023.0,90.0,2023.0,90.0,2023.0,55.0,2023.0,40.5,2015.0,5532.0,2023.0,64.2,2023.0,33.6,2023.0,358.0,2023.0,0.46689310669899,2020.0,7.00661039352417,2020.0,5218.02266462129,2023.0,25.1,2023.0,68.8,2023.0,23.5,2019.0,9.7,2019.0,41.79017222499465,2021.0,48.4,2005.0,37.577994371091265,2021.0,,,mandatory,no_program,True,True,75.0,Africa,AFR,Zimbabwe,Sub-Saharan Africa ,Lower middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MLT,2023,17.4,2019.0,19.0,2019.0,15.7,2023.0,3.5,2023.0,0.4,2022.0,13.0,2023.0,0.3,2023.0,,,7.2,2020.0,7.38891,2020.0,98.8,2023.0,95.0,2023.0,84.0,2023.0,98.0,2023.0,71.0,2023.0,0.0,2023.0,,,0.0,2023.0,5.5,2023.0,3.7,2023.0,8.0,2023.0,0.709248304367065,2020.0,10.1930236816406,2020.0,60418.3949311068,2023.0,2.1,2023.0,9.2,2023.0,3.3,2022.0,0.7,2022.0,1.9780821719493704,2021.0,8.1,2005.0,20.283765301387728,2021.0,,,,,,,,Europe,EUR,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
TUR,2023,,,29.5,2019.0,31.9,2023.0,5.3,2023.0,1.7,2018.0,14.0,2023.0,,,0.0,2020.0,12.9,2020.0,11.00789,2020.0,95.9,2023.0,95.0,2023.0,94.0,2023.0,99.0,2023.0,95.0,2023.0,0.0,2023.0,14.3,1998.0,5088.0,2023.0,13.8,2023.0,4.8,2023.0,15.0,2023.0,0.649261832237244,2020.0,9.22749519348145,2020.0,35069.1701714685,2023.0,,,,,6.0,2018.0,1.5,2018.0,9.21071509807658,2021.0,21.7,2005.0,46.74442045170763,2021.0,,,voluntary,no_program,False,True,20.0,Europe,EUR,Turkiye,Europe & Central Asia,Upper middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MHL,2023,39.5,2019.0,39.4,2019.0,23.5,2023.0,31.7,2023.0,3.5,2017.0,928.0,2023.0,,,,,,,,,67.8,2017.0,88.0,2023.0,61.0,2023.0,85.0,2023.0,62.0,2023.0,44.0,2023.0,38.2,2007.0,0.0,2023.0,27.6,2023.0,12.9,2023.0,155.0,2023.0,0.42339813709259,2020.0,5.65948820114136,2020.0,6801.61469241924,2023.0,,,,,34.8,2017.0,11.9,2017.0,1.27076227282651,2021.0,10.4,2005.0,31.78966754336987,2021.0,,,,,,,,Western Pacific,WPR,Marshall Islands,East Asia & Pacific,Upper middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
EST,2023,18.0,2019.0,23.3,2019.0,24.8,2023.0,1.5,2023.0,1.5,2014.0,9.1,2023.0,0.7,2023.0,,,4.2,2020.0,5.80545,2020.0,97.7,2023.0,85.0,2023.0,77.0,2023.0,84.0,2023.0,0.0,2023.0,77.0,2023.0,,,4.0,2023.0,2.1,2023.0,1.0,2023.0,5.0,2023.0,0.77720320224762,2020.0,11.7193126678467,2020.0,41288.6165892158,2023.0,1.1,2023.0,10.8,2023.0,,,,,0.33042194864202,2021.0,10.5,2005.0,13.03995206572125,2021.0,,,,,,,,Europe,EUR,Estonia,Europe & Central Asia,High income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
BGR,2023,24.1,2019.0,25.8,2019.0,25.8,2023.0,5.2,2023.0,5.9,2014.0,17.0,2023.0,0.1,2023.0,,,11.4,2020.0,7.97278,2020.0,,,92.0,2023.0,87.0,2023.0,92.0,2023.0,87.0,2023.0,49.0,2023.0,,,0.0,2023.0,5.9,2023.0,2.7,2023.0,6.0,2023.0,0.613898158073425,2020.0,8.68730926513672,2020.0,33073.8179631314,2023.0,2.0,2023.0,11.6,2023.0,,,,,8.82285211356782,2021.0,15.3,2005.0,25.50113277893274,2021.0,,,voluntary,no_program,False,True,20.0,Europe,EUR,Bulgaria,Europe & Central Asia,High income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MMR,2023,49.6,2019.0,47.8,2019.0,39.7,2023.0,26.0,2023.0,7.4,2018.0,482.0,2023.0,0.9,2023.0,17.9635296,2023.0,12.5,2020.0,,,58.6,2016.0,73.0,2023.0,66.0,2023.0,71.0,2023.0,64.0,2023.0,63.0,2023.0,61.9,2016.0,15.0,2023.0,38.1,2023.0,20.1,2023.0,185.0,2023.0,0.477652013301849,2020.0,6.78796720504761,2020.0,5364.13797034429,2023.0,7.2,2023.0,32.7,2023.0,26.7,2018.0,19.5,2018.0,8.58862003585811,2021.0,19.5,2005.0,35.66479362362529,2021.0,,,no_program,no_program,False,False,0.0,South-East Asia,SEAR,Myanmar,East Asia & Pacific,Lower middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MKD,2023,20.4,2019.0,25.7,2019.0,24.4,2023.0,3.6,2023.0,3.4,2019.0,11.0,2023.0,0.1,2023.0,,,8.3,2020.0,6.13355,2020.0,95.7,2019.0,73.0,2023.0,88.0,2023.0,86.0,2023.0,56.0,2023.0,68.0,2023.0,62.0,2011.0,1.0,2023.0,3.4,2023.0,1.4,2023.0,3.0,2023.0,0.55734920501709,2020.0,7.29640483856201,2020.0,23455.319400522,2023.0,3.4,2023.0,15.2,2023.0,4.3,2019.0,0.9,2019.0,30.10437214706353,2021.0,14.1,2005.0,40.932568994172755,2021.0,,,,,,,,Europe,EUR,North Macedonia,Europe & Central Asia,Upper middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
BHR,2023,23.4,2019.0,33.5,2019.0,38.7,2023.0,4.6,2023.0,6.6,1995.0,14.0,2023.0,0.1,2023.0,,,12.4,2020.0,11.32395,2020.0,99.1,2019.0,99.0,2023.0,99.0,2023.0,99.0,2023.0,98.0,2023.0,98.0,2023.0,,,3.0,2023.0,8.6,2023.0,4.4,2023.0,17.0,2023.0,0.652472019195557,2020.0,9.28683853149414,2020.0,57819.9051831242,2023.0,,,,,,,,,12.26790828711333,2021.0,24.8,2005.0,28.70217452444165,2021.0,,,mandatory,no_program,True,True,75.0,Eastern Mediterranean,EMR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MLI,2023,79.0,2019.0,59.0,2019.0,55.8,2023.0,21.2,2023.0,10.6,2022.0,52.0,2023.0,0.8,2023.0,346.2195915,2023.0,,,6.12188,2020.0,44.7,2021.0,68.0,2023.0,60.0,2023.0,75.0,2023.0,80.0,2023.0,70.0,2023.0,20.9,2015.0,364.0,2023.0,76.2,2023.0,28.7,2023.0,367.0,2023.0,0.318269580602646,2020.0,2.57839322090149,2020.0,2860.42819002278,2023.0,2.6,2023.0,20.6,2023.0,21.8,2022.0,18.5,2022.0,2.54522061789788,2021.0,22.3,2005.0,13.79291664169072,2021.0,,,mandatory,mandatory,True,True,75.0,Africa,AFR,Mali,Sub-Saharan Africa ,Low income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
