sample_id,study_id,timepoint,arm,Prevotella,Bifidobacterium,Lactobacillus,Clostridium,Faecalibacterium,Lachnospiraceae_unclassified,Ruminococcus,Dorea,Blautia,Roseburia,Eubacterium,Firmicutes_unclassified,Succinatimonas,Dialister,Coprococcus,Streptococcus,Escherichia,Collinsella,Bacteroides,Megasphaera
ST-20001-PW,PW:1052,19wk,Arm D,22.3361,0.0,0.0,0.8795,13.14456,0.31058,4.77031,1.70555,10.74743,15.65172,3.25653,0.22671,1.29948,0.0,6.6692,0.1401,0.01111,2.10602,0.09063,0.0
ST-20003-PW,PW:1038,19wk,Arm D,4.11762,43.02393,0.34994,3.57784,5.87635,1.30701,3.79919,4.52732,3.44662,3.40687,2.82462,6.50049,2.2705,1.94767,2.67258,1.00313,0.0,3.23846,0.13649,0.91473
ST-20004-PW,PW:1050,19wk,Arm B,29.66624,1.60303,0.76221,0.72602,6.02413,7.25898,1.09645,1.5621,2.35156,6.15159,1.77531,0.15853,0.0,1.44656,1.3644,9.2421,0.13694,0.57811,0.21531,0.03595
ST-20005-PW,PW:1048,19wk,Arm D,2.13265,64.34706,2.73615,1.31018,3.5369,4.66501,1.48085,2.00306,1.11021,1.90643,1.35508,2.38772,0.11963,2.50033,0.45526,0.69887,0.12207,1.15747,0.30834,0.0
ST-20006-PW,PW:1191,19wk,Arm A,27.85284,6.29029,3.31664,2.26162,3.30036,14.91658,1.2642,4.80812,3.06715,7.66686,2.68251,0.31646,7.65252,1.8925,1.44276,1.18685,0.15411,0.60733,0.189,0.13034
ST-20007-PW,PW:1079,19wk,Arm B,1.60689,39.67262,1.44238,6.68893,0.69997,0.02563,9.25487,1.63378,1.74636,0.38432,1.93254,7.68157,0.05838,1.43779,1.71594,0.0,1.23549,3.40951,0.71766,0.86361
ST-20008-PW,PW:1043,19wk,Arm A,15.92815,0.07504,0.65186,1.05061,21.31694,1.48065,0.96888,2.53848,2.31523,3.41257,6.25741,9.57247,0.02468,1.55381,0.87451,8.54088,4.03044,2.3679,0.51814,0.0
ST-20009-PW,PW:1066,19wk,Arm C,58.41711,8.25316,2.88758,1.83021,2.7332,4.58125,0.52877,3.26977,1.30591,3.29354,0.7066,1.69521,1.04439,1.97637,1.22412,0.88949,0.48905,1.45047,0.0,0.10001
ST-20010-PW,PW:1040,19wk,Arm B,1.42037,46.84448,0.67162,5.60438,5.15951,0.12603,2.91124,2.05514,0.91773,0.06914,0.93226,6.87771,0.0,1.40488,1.61543,0.2699,0.0108,10.17955,0.10422,0.57282
ST-20011-PW,PW:1062,19wk,Arm A,45.36851,33.70121,6.91971,0.18002,1.93304,1.80986,0.10869,1.57747,0.82142,0.86816,0.49611,0.01999,0.64061,2.27192,0.75697,0.09005,0.50529,0.90553,0.04463,0.15354
ST-20012-PW,PW:1065,19wk,Arm D,0.28615,54.15454,5.51927,0.27578,6.52066,6.45529,1.65193,3.66072,1.55588,8.16123,1.12472,0.0365,0.0,0.0,1.28371,0.33077,0.0,2.4104,0.00641,0.0
ST-20013-PW,PW:1049,19wk,Arm C,25.0931,17.71036,0.3743,1.15605,6.15756,3.34869,7.93781,2.29802,2.07669,8.90834,2.32865,2.50847,1.42111,3.38533,0.8622,2.66663,0.29342,0.51348,1.77734,0.0
ST-20014-PW,PW:1098,19wk,Arm B,1.48774,34.92132,1.05719,2.63045,14.62374,1.77953,0.68735,7.48522,2.65614,2.31621,1.84605,1.80606,0.0,0.07444,2.25111,0.18046,0.40193,4.44662,0.9623,0.16918
ST-20015-PW,PW:1142,19wk,Arm B,32.8921,1.30409,30.9623,2.48062,3.15945,7.36288,0.07359,3.97639,1.18879,2.53579,3.48909,0.12405,0.0,1.93969,2.29646,1.25834,0.0,0.24413,0.06191,0.0
ST-20016-PW,PW:1218,19wk,Arm D,40.05215,10.01635,12.28249,3.58769,1.43604,1.60898,0.1234,2.04748,1.76006,4.36701,1.07831,0.06786,0.08356,0.26182,0.74118,1.95049,1.49409,0.75326,0.5367,6.77528
ST-20017-PW,PW:1096,19wk,Arm D,2.96766,40.45773,0.79903,0.25083,21.18405,0.5648,0.0,4.72423,2.83002,3.9842,2.89023,1.84684,0.0,0.88292,1.20859,0.03701,4.51095,5.05216,0.05848,0.0
ST-20018-PW,PW:1092,19wk,Arm C,25.00867,27.96264,13.6966,0.6138,1.24525,3.5116,3.52866,2.58997,2.30968,2.2173,1.43204,0.03077,0.0,0.7396,0.27884,0.5691,0.7909,0.22289,1.61203,9.37545
ST-20019-PW,PW:1197,19wk,Arm D,38.78961,4.74128,0.17252,16.56843,2.33627,4.79351,2.28021,4.8028,3.05525,4.94461,0.75501,1.3126,1.5355,1.47582,0.7891,0.01583,0.0,0.12587,0.07399,0.03675
ST-20020-PW,PW:1061,19wk,Arm C,36.09938,20.89376,1.96386,0.59381,3.93765,1.7793,0.14937,2.98379,3.39768,2.69743,0.53618,0.18402,3.33061,8.74879,0.68341,2.01179,0.39368,3.79976,0.25308,0.62758
ST-20021-PW,PW:1085,19wk,Arm A,28.64586,30.85592,0.41586,2.75064,4.22111,3.56444,1.00122,2.50014,1.39883,3.73499,0.46511,0.10829,0.00392,3.21964,0.41189,1.24565,0.11555,1.17954,0.02381,0.30371
ST-20022-PW,PW:1064,19wk,Arm D,50.37959,3.57515,0.0,1.25014,9.63766,4.52501,0.0,7.11213,3.4662,5.42617,1.65804,0.01991,0.50343,4.03709,2.38699,0.41367,0.0,1.81457,0.37647,0.0
ST-20023-PW,PW:1072,19wk,Arm C,30.0391,19.35294,0.0,8.53851,2.57858,0.57673,6.78969,2.87791,3.13734,1.14497,0.03294,0.0,2.96532,1.72045,0.0,0.772,5.0464,0.63615,0.0,1.29814
ST-20025-PW,PW:1063,19wk,Arm A,15.96347,0.9491,0.04743,2.30598,7.54248,2.03936,3.55523,2.17565,6.34217,3.49605,1.38425,12.29127,3.65844,1.0338,3.26142,0.10567,7.82839,1.07883,1.67873,0.0
ST-20026-PW,PW:1315,19wk,Arm D,37.50622,3.49397,2.81489,6.64754,4.29085,2.44607,2.87966,2.0711,2.71439,3.15147,1.70413,2.25971,17.05036,1.51646,1.48642,0.52991,0.17617,0.25897,1.26636,2.71661
ST-20027-PW,PW:1310,19wk,Arm D,3.20493,6.3383,0.0199,19.81346,3.79637,1.33418,11.30858,3.09461,2.69473,0.65347,1.48386,5.04969,6.64756,1.6826,1.33058,0.02192,0.01311,0.40667,1.51887,0.57757
ST-20028-PW,PW:1175,19wk,Arm D,16.8947,9.35384,0.3999,8.54665,3.6965,1.44852,6.34951,4.49621,5.46093,2.63995,1.89892,1.68587,15.47115,2.27916,2.42527,0.12778,0.76231,0.92095,0.00316,3.28291
ST-20029-PW,PW:1071,19wk,Arm B,29.51914,20.81774,0.28723,20.89589,5.53039,0.15987,4.18949,0.75245,1.59,0.28449,2.39996,0.27939,0.0,0.0,1.66164,0.14319,0.16863,0.22236,0.17523,0.35725
ST-20030-PW,PW:1084,19wk,Arm C,2.5413,59.03357,11.43281,1.68127,3.21112,1.9235,2.98718,3.30728,1.51787,0.39577,0.91588,1.36775,0.16354,0.93447,1.23554,0.91511,0.30663,1.53005,0.05215,0.37736
ST-20031-PW,PW:1114,19wk,Arm B,18.6575,34.19229,3.81686,1.08064,5.46295,6.62728,3.10566,1.92721,1.68129,1.40918,1.58854,6.48683,0.0,0.0,0.83986,0.20818,0.64692,1.29067,3.25205,0.0
ST-20032-PW,PW:1102,19wk,Arm C,40.48912,10.41956,2.77556,0.38662,5.82406,9.90747,0.0,1.55983,3.16275,2.09078,1.54602,0.16198,0.0,0.9113,8.58165,2.7452,2.6304,1.09784,0.0,0.0
