state_name,anaemia_children_pct,anc4_coverage_pct,dtp3_coverage_pct,low_birthweight_pct,mcv1_coverage_pct,stunting_pct,underweight_pct,wasting_pct,stunting_ci_low,stunting_ci_high,stunting_n,zone
Abia,67.1,88.7,80.4,2.1,78.9,22.2,14.6,9.0,,,187.0,South East
Abuja Federal Capital Territory,58.8,71.9,73.5,8.4,73.9,21.2,12.1,3.0,,,87.0,North Central
Adamawa,56.0,68.1,65.9,4.0,65.2,39.7,19.1,4.2,,,279.0,North East
Akwa Ibom,74.7,64.4,62.2,6.1,63.5,19.6,8.9,4.2,,,236.0,South South
Anambra,75.2,81.8,87.3,3.6,80.8,14.0,6.5,2.3,,,540.0,South East
Bauchi,75.7,42.5,32.1,12.9,35.5,54.7,31.9,8.5,,,447.0,North East
Bayelsa,67.4,27.2,54.5,6.3,71.3,24.9,13.4,1.3,,,105.0,South South
Benue,62.0,57.8,58.7,6.6,64.1,20.8,12.6,8.9,,,415.0,North Central
Borno,71.2,34.6,36.0,31.3,46.0,45.1,28.2,16.0,,,402.0,North East
Cross River,69.8,64.1,64.1,5.4,64.1,22.9,11.8,5.0,,,121.0,South South
Delta,69.8,68.1,71.7,9.3,73.3,23.7,13.0,2.0,,,236.0,South South
Ebonyi,79.3,73.4,82.4,13.5,64.3,25.2,15.8,4.5,,,392.0,South East
Edo,65.9,74.7,80.7,8.6,80.6,16.0,10.7,3.3,,,151.0,South South
Ekiti,71.9,85.6,93.0,7.8,86.4,22.1,11.1,3.3,,,166.0,South West
Enugu,58.9,88.7,80.9,8.9,79.2,14.8,6.1,2.2,,,220.0,South East
Gombe,77.3,44.2,25.8,3.8,28.8,51.2,30.4,7.8,,,221.0,North East
Imo,59.2,85.0,79.5,3.5,71.3,17.6,10.9,6.9,,,330.0,South East
Jigawa,81.9,48.7,35.7,11.3,55.7,64.0,42.3,9.6,,,415.0,North West
Kaduna,48.4,53.0,31.9,14.4,42.4,48.1,22.1,4.8,,,688.0,North West
Kano,72.9,51.2,45.9,6.3,56.1,56.9,30.8,6.4,,,754.0,North West
Katsina,64.8,38.8,33.7,42.3,34.6,60.5,39.3,10.5,,,748.0,North West
Kebbi,80.8,26.4,10.6,9.6,32.6,66.1,46.4,12.3,,,323.0,North West
Kogi,63.6,72.0,55.6,10.0,44.7,20.0,10.2,3.9,,,159.0,North Central
Kwara,69.4,63.6,54.5,6.5,50.5,32.9,18.6,7.3,,,202.0,North Central
Lagos,51.8,79.0,90.8,6.1,89.5,17.2,13.3,6.4,,,684.0,South West
Nasarawa,67.9,65.5,59.7,13.4,65.6,31.4,20.5,5.6,,,195.0,North Central
Niger,75.0,32.8,38.8,6.6,40.5,28.2,14.4,4.7,,,478.0,North Central
Ogun,59.5,90.3,50.3,8.4,51.9,26.6,16.3,5.7,,,357.0,South West
Ondo,64.2,82.0,77.0,5.1,73.5,20.4,11.9,3.3,,,177.0,South West
Osun,57.6,95.7,83.5,8.2,76.6,23.7,14.4,4.5,,,314.0,South West
Oyo,65.0,79.4,44.3,6.7,61.6,34.5,18.0,3.9,,,596.0,South West
Plateau,55.3,53.0,71.8,11.1,63.5,44.7,15.3,2.4,,,256.0,North Central
Rivers,78.9,79.5,74.5,2.3,72.8,16.8,7.4,6.4,,,451.0,South South
Sokoto,79.6,28.3,7.2,39.4,19.0,54.8,42.8,17.9,,,263.0,North West
Taraba,70.9,49.3,41.7,1.7,40.8,41.9,21.9,5.3,,,243.0,North East
Yobe,69.1,36.7,29.0,,45.5,57.2,41.9,12.4,,,373.0,North East
Zamfara,83.6,26.7,10.8,,12.2,50.8,32.5,9.1,,,378.0,North West
